UF,Auxílio-Moradia-2015,Auxílio-Moradia-2016,Auxílio-Moradia-2017,Auxílio-Moradia-2018,Escritório(s) de Apoio-2015,Escritório(s) de Apoio-2016,Escritório(s) de Apoio-2017,Escritório(s) de Apoio-2018,Gabinete-2015,Gabinete-2016,Gabinete-2017,Gabinete-2018,Imóvel Funcional-2015,Imóvel Funcional-2016,Imóvel Funcional-2017,Imóvel Funcional-2018,TotalGabinete-2015,TotalGabinete-2016,TotalGabinete-2017,TotalGabinete-2018,gastos,gastos2015,gastos2016,gastos2017,gastos2018
RR,24,22,12,5,71,38,81,45,51,91,66,65,0,5,9,5,122,129,147,110,5297518.06,1554983.89,1590181.34,1581480.68,570872.15
AC,0,0,0,0,65,63,66,70,39,39,46,57,31,36,36,15,104,102,112,127,5235315.39,1605163.08,1653873.36,1461236.25,515042.70
AP,0,0,0,0,72,80,92,96,55,52,59,69,24,24,24,10,127,132,151,165,5199933.88,1577933.71,1620355.60,1555911.23,445733.34
PI,23,24,24,10,76,75,76,79,79,66,68,68,10,12,12,5,155,141,144,147,5153480.52,1577846.30,1483856.51,1499488.00,592289.71
AM,11,12,12,5,41,48,49,48,82,77,81,91,24,24,24,10,123,125,130,139,4865451.01,1395311.28,1371146.14,1571075.12,527918.47
PE,11,5,0,0,49,50,54,55,65,57,54,65,24,24,24,10,114,107,108,120,4717547.48,1275931.02,1361980.93,1490560.26,589075.27
RO,0,4,0,0,97,97,98,99,70,76,79,95,13,12,12,5,167,173,177,194,4614943.12,1417933.88,1321732.52,1396777.00,478499.72
PA,3,0,0,0,47,48,55,53,43,42,48,54,22,31,36,15,90,90,103,107,4187412.39,1207177.82,1320573.83,1303367.55,356293.19
MT,0,7,12,6,31,32,35,34,67,65,70,80,22,24,12,5,98,97,105,114,4183675.20,1048079.24,1354065.37,1312794.37,468736.22
RJ,24,16,12,5,52,27,71,69,51,50,55,68,0,11,12,5,103,77,126,137,4102082.39,1237418.31,1123013.87,1299985.86,441664.35
MA,8,8,2,4,40,44,54,55,115,118,120,132,12,16,23,10,155,162,174,187,4014027.42,1037111.28,980802.12,1564956.16,431157.86
ES,21,14,13,5,52,51,54,54,54,49,48,60,0,9,12,4,106,100,102,114,3892667.52,1199946.90,1164832.04,1090642.15,437246.43
MG,12,12,9,0,32,32,32,34,64,64,69,83,19,12,17,10,96,96,101,117,3816881.39,1116160.66,1272625.59,1066128.68,361966.46
SC,14,12,12,5,25,21,29,28,41,38,36,45,20,24,24,10,66,59,65,73,3525426.17,1072358.74,1112918.19,1048471.48,291677.76
TO,11,12,12,5,75,68,96,99,46,51,55,65,25,24,24,10,121,119,151,164,3453712.01,1057479.46,1022582.70,1041097.47,332552.38
PR,0,0,0,0,52,48,55,53,46,46,45,54,24,24,24,10,98,94,100,107,3445394.53,1032883.70,999275.33,1077082.81,336152.69
RN,23,16,12,5,62,59,65,66,48,51,54,65,12,20,24,10,110,110,119,131,3397044.60,940753.84,984961.94,1061788.83,409539.99
BA,10,11,13,5,60,63,63,67,52,49,52,64,22,24,24,10,112,112,115,131,3245653.08,947830.91,928146.60,1010836.23,358839.34
RS,12,12,12,1,23,24,29,30,49,44,49,61,10,12,12,5,72,68,78,91,3237420.18,771637.10,974178.34,1082706.71,408898.03
PB,0,4,1,0,65,60,68,70,46,47,34,42,22,23,24,10,111,107,102,112,3236698.83,836129.63,932460.86,1058134.48,409973.86
SP,0,0,1,0,22,39,41,43,53,47,50,58,34,41,47,15,75,86,91,101,3222200.88,937055.32,1000559.33,997945.47,286640.75
SE,13,23,13,8,78,79,86,91,44,43,49,58,13,12,12,5,122,122,135,149,3193425.41,907270.76,784214.62,1068824.91,433115.12
GO,0,0,0,0,46,47,50,45,58,61,58,66,27,36,36,15,104,108,108,111,3030251.81,883601.14,944218.16,979830.92,222601.59
MS,12,7,12,5,27,22,34,36,59,59,51,61,22,24,24,10,86,81,85,97,2944574.87,818890.71,838582.25,988369.43,298732.47
AL,0,0,0,0,67,68,105,108,108,110,83,97,36,36,36,15,175,178,188,205,2915670.20,747713.79,890678.23,941761.94,335516.24
CE,0,0,0,0,47,44,56,56,32,36,38,49,17,24,24,10,79,80,94,105,2558474.06,704525.59,778154.92,829616.14,246177.41
DF,0,0,0,0,0,19,30,41,114,93,82,98,0,0,0,0,114,112,112,139,1252578.07,275284.62,426052.35,425117.54,126123.56
